,stock,mktcap
1202,8137.HK,0
1203,8139.HK,0
1204,8148.HK,0
1205,8149.HK,0
1206,8150.HK,0
1207,8151.HK,0
1208,8158.HK,0
1209,8159.HK,0
1210,8160.HK,0
1211,8161.HK,0
1212,8167.HK,0
1213,8168.HK,0
1214,8169.HK,0
1215,8170.HK,0
1216,8176.HK,0
1217,8178.HK,0
1218,8179.HK,0
1219,8181.HK,0
1220,8190.HK,0
1221,8191.HK,0
1222,8192.HK,0
1223,8193.HK,0
1224,8201.HK,0
1225,8202.HK,0
1226,8203.HK,0
1227,8205.HK,0
1228,8211.HK,0
1229,8213.HK,0
1230,8215.HK,0
1231,8216.HK,0
1232,8221.HK,0
1233,8222.HK,0
1234,8223.HK,0
1235,8225.HK,0
1236,8231.HK,0
1237,8232.HK,0
1238,8235.HK,0
1239,8236.HK,0
1240,8242.HK,0
1241,8245.HK,0
1242,8246.HK,0
1243,8247.HK,0
1244,8257.HK,0
1245,8258.HK,0
1246,8259.HK,0
1247,8260.HK,0
1248,8268.HK,0
1249,8269.HK,0
1250,8270.HK,0
1251,8271.HK,0
1252,8280.HK,0
1253,8281.HK,0
1254,8282.HK,0
1255,8283.HK,0
1256,8291.HK,0
1257,8292.HK,0
1258,8293.HK,0
1259,8295.HK,0
1260,8301.HK,0
1261,8305.HK,0
1262,8307.HK,0
1263,8308.HK,0
1264,8315.HK,0
1265,8316.HK,0
1266,8317.HK,0
1267,8319.HK,0
1268,8328.HK,0
1269,8329.HK,0
1270,8331.HK,0
1271,8333.HK,0
1272,8347.HK,0
1273,8348.HK,0
1274,8349.HK,0
1275,8350.HK,0
1276,8360.HK,0
1277,8362.HK,0
1278,8363.HK,0
1279,8365.HK,0
1280,8371.HK,0
1281,8372.HK,0
1282,8373.HK,0
1283,8375.HK,0
1284,8391.HK,0
1285,8392.HK,0
1286,8395.HK,0
1287,8400.HK,0
1288,8406.HK,0
1289,8411.HK,0
1290,8412.HK,0
1291,8413.HK,0
1292,8420.HK,0
1293,8422.HK,0
1294,8423.HK,0
1295,8425.HK,0
1296,8430.HK,0
1297,8431.HK,0
1298,8432.HK,0
1299,8436.HK,0
1300,8446.HK,0
1301,8447.HK,0
1302,8448.HK,0
1303,8450.HK,0
1304,8460.HK,0
1305,8462.HK,0
1306,8471.HK,0
1307,8472.HK,0
1308,8480.HK,0
1309,8481.HK,0
1310,8482.HK,0
1311,8483.HK,0
1312,8493.HK,0
1313,8495.HK,0
1314,8496.HK,0
1315,8500.HK,0
1316,8509.HK,0
1317,8510.HK,0
1318,8511.HK,0
1319,8512.HK,0
1320,8523.HK,0
1321,8525.HK,0
1322,8526.HK,0
1323,8527.HK,0
1324,8540.HK,0
1325,8545.HK,0
1326,8547.HK,0
1327,8601.HK,0
1328,8611.HK,0
1329,8612.HK,0
1330,8613.HK,0
1331,8616.HK,0
1332,8622.HK,0
1333,8623.HK,0
1334,8627.HK,0
1335,8631.HK,0
1336,8659.HK,0
1337,8668.HK,0
1338,9010.HK,0
1339,9011.HK,0
1340,9072.HK,0
1341,9074.HK,0
